user_id,wine_id,points
2,213,90
10,214,90
1,215,90
2,216,90
1,217,90
1,218,90
12,219,90
7,220,90
12,221,90
12,222,90
2,223,90
7,224,90
10,225,90
2,226,90
2,227,90
12,228,90
1,229,90
1,230,90
12,231,90
8,232,90
12,233,90
1,234,90
1,235,90
12,236,90
2,237,90
1,238,90
6,239,90
12,240,91
6,241,91
0,242,91
10,243,91
1,244,91
2,245,91
4,246,91
1,247,91
5,248,91
12,249,91
4,250,91
8,251,91
3,252,91
3,253,91
3,254,91
5,255,91
3,256,91
3,257,91
3,258,91
2,259,91
5,260,91
2,261,91
2,262,91
2,263,91
5,264,91
8,265,91
5,266,91
3,267,91
3,268,92
2,269,92
3,270,92
3,271,92
9,272,92
9,273,92
3,274,92
9,275,92
3,276,92
1,277,92
1,278,92
6,279,92
10,280,92
3,281,90
8,282,90
3,283,90
2,284,90
8,285,90
7,286,90
12,287,90
9,288,90
3,289,90
12,290,90
6,291,90
3,292,90
3,293,90
3,294,90
3,295,90
3,296,90
6,297,90
2,298,90
3,299,90
12,300,90
12,301,90
9,302,90
10,303,90
5,304,90
1,305,90
8,306,90
2,307,90
10,308,90
5,309,90
0,310,90
0,311,90
3,312,90
3,313,90
0,314,90
7,315,90
10,316,90
6,317,90
1,318,90
6,319,90
9,320,90
2,321,90
6,322,90
1,323,90
1,324,90
6,325,90
5,326,90
9,327,90
8,328,90
6,329,90
10,330,90
2,331,90
9,332,90
13,333,90
8,334,90
3,335,90
3,336,90
2,337,90
8,338,90
2,339,90
2,340,90
2,341,90
4,342,90
3,343,90
9,344,90
6,345,90
2,346,90
6,347,90
9,348,90
5,349,90
1,350,90
1,351,90
2,352,90
9,353,90
1,354,90
8,355,90
3,356,90
3,357,94
10,358,94
2,359,94
9,360,94
9,361,94
9,362,94
1,363,94
3,364,94
3,365,94
5,366,94
2,367,94
3,368,94
1,369,94
9,370,94
9,371,94
9,372,94
9,373,94
12,374,94
2,375,94
3,376,94
2,377,94
9,378,94
2,379,94
12,380,94
2,381,94
3,382,94
2,383,94
9,384,94
3,385,94
9,386,94
2,387,90
8,388,90
9,389,90
2,390,90
6,391,90
8,392,90
2,393,90
9,394,90
5,395,90
1,396,90
9,397,90
10,398,90
6,399,90
1,400,90
8,401,90
8,402,90
5,403,90
12,404,90
1,405,90
8,406,90
10,407,90
6,408,90
1,409,90
3,410,90
3,411,90
1,412,93
3,413,93
10,414,93
2,415,93
2,416,93
6,417,93
6,418,93
2,419,93
3,420,93
6,421,93
1,422,93
6,423,93
3,424,93
6,425,93
6,426,93
2,427,93
3,428,93
2,429,93
6,430,93
6,431,93
3,432,93
6,433,93
10,434,93
2,435,92
2,436,92
6,437,92
6,438,92
6,439,92
1,440,90
2,441,90
2,442,90
5,443,90
0,444,90
8,445,90
0,446,90
8,447,90
2,448,90
6,449,90
8,450,90
5,451,90
6,452,90
3,453,90
3,454,90
3,455,90
2,456,90
7,457,90
7,458,90
2,459,90
1,460,90
3,461,90
3,462,90
3,463,90
0,464,90
2,465,90
6,466,90
1,467,90
9,468,90
3,469,93
3,470,93
2,471,93
9,472,93
9,473,93
9,474,93
2,475,93
9,476,92
3,477,92
3,478,92
2,479,92
12,480,92
2,481,92
9,482,92
3,483,92
3,484,92
4,485,92
9,486,92
0,487,92
9,488,92
2,489,92
6,490,94
2,491,94
3,492,94
3,493,94
3,494,94
2,495,94
5,496,94
3,497,94
3,498,94
1,499,94
3,500,94
1,501,94
6,502,94
2,503,94
7,504,94
3,505,94
6,506,94
2,507,93
1,508,93
3,509,93
6,510,93
3,511,93
2,512,93
6,513,93
2,514,93
2,515,93
6,516,93
1,517,93
2,518,93
1,519,92
6,520,92
2,521,92
1,522,92
9,523,92
3,524,92
3,525,92
8,526,92
6,527,92
1,528,92
3,529,92
1,530,92
9,531,92
2,532,92
3,533,92
3,534,92
3,535,92
8,536,92
8,537,92
1,538,92
9,539,92
8,540,92
2,541,92
9,542,99
2,543,99
3,544,98
3,545,98
9,546,98
1,547,98
3,548,97
1,549,97
8,550,97
3,551,97
3,552,97
2,553,97
3,554,96
3,555,96
1,556,96
3,557,96
3,558,96
2,559,96
3,560,96
3,561,96
2,562,96
3,563,96
2,564,95
3,565,95
3,566,95
3,567,95
9,568,95
2,569,95
9,570,90
6,571,90
5,572,90
5,573,90
6,574,90
6,575,90
2,576,90
8,577,90
9,578,90
3,579,90
9,580,90
2,581,90
6,582,90
6,583,90
5,584,90
6,585,90
3,586,90
10,587,90
8,588,90
8,589,92
6,590,92
6,591,92
12,592,92
12,593,92
1,594,92
3,595,92
12,596,92
12,597,92
1,598,92
6,599,92
1,600,92
6,601,92
1,602,92
12,603,92
10,604,92
1,605,92
3,606,92
10,607,92
9,608,91
1,609,91
8,610,91
3,611,91
3,612,91
2,613,91
10,614,91
10,615,91
8,616,91
6,617,91
9,618,91
2,619,91
2,620,91
9,621,91
1,622,91
3,623,91
3,624,94
3,625,94
2,626,94
1,627,94
1,628,93
9,629,93
9,630,93
1,631,93
3,632,93
3,633,93
9,634,93
4,635,93
1,636,93
