no_of_rainy_days,total_rainfall,maximum_rainfall_in_a_day,mean_rh,mean_sunshine_hrs,asian_civilisations_museum,national_museum_of_singapore,science_centre_singapore,jurong_birdpark,night_safari,river_wonders,singapore_zoological_gardens,sun_yat_sen_nanyang_memorial_hall,indian_heritage_centre
20,233.2,45.5,82.0,4.5,0,12,36,0,0,0,110,0,0
18,474.3,120.6,87.7,3.7,0,22,76,0,0,0,141,0,0
23,502.7,105.7,90.3,3.4,0,10,41,0,0,0,104,0,0
11,176.4,37.2,85.7,5.5,0,15,25,0,0,0,124,0,0
8,69.2,27.0,80.5,8.5,0,19,28,0,0,0,71,0,0
14,250.5,56.9,86.3,5.4,0,27,51,0,0,0,110,0,0
20,283.9,56.7,84.5,6.4,0,21,39,0,0,0,102,0,0
10,129.9,37.2,82.9,6.0,0,22,64,0,0,0,135,0,0
17,115.5,29.4,80.9,6.2,0,28,56,0,0,0,181,0,0
15,240.0,46.4,83.2,5.2,0,27,42,0,0,0,112,0,0
11,106.8,53.5,79.4,7.4,0,16,38,0,0,0,146,0,0
7,61.7,42.0,81.4,5.9,0,14,34,0,0,0,116,0,0
13,175.5,62.7,84.3,5.2,0,18,32,0,0,0,104,0,0
18,250.8,61.3,87.4,4.7,0,23,88,0,0,0,158,0,0
19,308.5,67.6,87.4,4.2,0,13,38,0,0,0,127,0,0
7,56.9,17.5,82.1,6.1,0,12,16,0,0,0,84,0,0
15,133.5,26.3,84.5,6.4,0,18,22,0,0,0,108,0,0
19,288.2,64.2,87.1,3.5,0,26,49,0,0,0,125,0,0
15,154.0,46.3,84.8,5.8,0,21,31,0,0,0,118,0,0
16,169.6,45.1,84.8,5.0,0,16,49,0,0,0,160,0,0
14,184.7,61.1,83.5,6.0,0,14,40,0,0,0,131,0,0
6,53.8,17.0,78.9,7.6,0,26,41,0,0,0,113,0,0
12,45.1,15.5,80.0,6.5,0,25,51,0,0,0,123,0,0
6,23.7,11.3,78.7,3.8,0,27,37,0,0,0,103,0,0
